,Player,sqrtSalary,Position,All Star,Age,GP,GS,MP,MPG,PER,TS%,FT%,3P%,UR%,OWS,DWS,WS,VORP,FGM,FGA
1,Cameron Johnson,2.42649933,Other,No,26,42,41,1199,28.5,17.1,0.617,0.842,0.404,20.6,2.1,1.4,3.5,1.4,5.3,11.3
2,Pat Connaughton,2.39340615,Other,No,30,61,33,1443,23.7,10,0.531,0.659,0.339,13.8,0.7,1.8,2.5,0.3,2.7,6.9
3,Kevin Love,5.527835743,Other,No,34,62,20,1240,20,13.1,0.548,0.879,0.334,19.2,0.6,2,2.6,0.8,2.7,6.8
4,Anthony Gill,1.355023985,Other,No,30,59,8,624,10.6,11.1,0.604,0.731,0.138,12.3,1,0.4,1.3,-0.2,1.2,2.2
5,Keita Bates-Diop,1.370664073,Other,No,27,67,42,1452,21.7,14.9,0.609,0.793,0.394,16.7,2.1,0.6,2.7,0.5,3.5,6.9
6,KZ Okpala,1.379178379,Other,No,23,35,3,248,7.1,6.2,0.554,0.875,0.333,8.4,0.1,0.2,0.3,-0.1,0.5,1.1
7,Buddy Hield,4.601928943,Other,Yes,30,80,73,2482,31,15.4,0.614,0.822,0.425,20.8,2.7,1.6,4.4,2.4,5.9,13
8,Dalano Banton,1.250407134,PG,No,23,31,2,279,9,14.9,0.505,0.708,0.294,24.2,0,0.4,0.4,0.1,1.8,4.2
9,Tyrese Maxey,1.651326739,SG,No,22,60,41,2016,33.6,17,0.605,0.845,0.434,24.1,3.7,1.6,5.4,1.3,7.3,15.2
10,Serge Ibaka,1.704655684,C,No,33,16,0,185,11.6,9.8,0.553,0.615,0.333,16.1,0,0.2,0.2,-0.1,1.6,3.4
11,Vit Krejci,1.250407134,PG,No,22,29,0,165,5.7,7.7,0.475,0.5,0.238,10.9,0,0.1,0.1,-0.1,0.5,1.3
12,Jaden Ivey,2.692990902,SG,No,20,74,73,2304,31.1,12.1,0.528,0.747,0.343,25.4,-0.9,0.8,0,-0.7,5.5,13.3
13,JD Davison,0.713365965,SG,No,20,12,0,66,5.5,10.1,0.478,0.5,0.286,15.8,0,0.1,0.1,0,0.7,1.6
14,Markelle Fultz,4.062019202,PG,No,24,60,60,1778,29.6,16.6,0.564,0.783,0.31,21.3,1.7,2,3.7,1.2,5.8,11.3
15,Jonathan Isaac,4.171330723,Other,No,25,11,0,124,11.3,20.3,0.483,0.556,0.4,21.1,0,0.3,0.3,0.2,2,4.8
16,Cade Cunningham,3.24850735,PG,No,21,12,12,400,33.3,14,0.492,0.837,0.279,30,-0.4,0.2,-0.1,0.1,7.8,18.7
17,Jaden Hardy,1.008851327,SG,No,20,48,5,708,14.8,14.6,0.571,0.823,0.404,26.4,0.2,0.5,0.7,0,3,6.9
18,Luka Garza,0.713365965,C,No,24,28,0,243,8.7,23,0.652,0.788,0.359,26.9,0.9,0.2,1.1,0.1,2.3,4.1
19,Bennedict Mathurin,2.566476183,SG,No,20,78,17,2222,28.5,13.1,0.566,0.828,0.323,24.6,1,0.8,1.8,-1,5.3,12.2
20,Ousmane Dieng,2.13771841,Other,No,19,39,1,569,14.6,9.3,0.505,0.652,0.265,15.9,-0.1,0.6,0.4,-0.2,1.9,4.6
21,Jordan Hall,0.439348381,Other,No,21,9,0,83,9.2,5.5,0.438,0.778,0.2,19.4,-0.1,0,-0.1,-0.1,1,3.1
22,Shaquille Harrison,0.367235619,SG,No,29,5,0,120,24,17.9,0.516,0.733,0.3,17.6,0.2,0.2,0.3,0.1,3,7.2
23,Ja Morant,3.481298608,PG,Yes,23,61,59,1948,31.9,23.3,0.557,0.748,0.307,34.9,3.4,2.6,6,3.8,9.3,19.9
24,Joe Ingles,2.545387986,Other,No,35,46,0,1044,22.7,10.7,0.616,0.857,0.409,12.6,1.1,1.2,2.3,0.3,2.3,5.4
25,De'Aaron Fox,5.509244957,PG,Yes,25,73,73,2435,33.4,21.8,0.599,0.78,0.324,30.1,5.5,1.8,7.4,2.7,9.3,18.2
26,Frank Ntilikina,1.426996146,SG,No,24,47,5,607,12.9,5.2,0.461,0.667,0.254,13.1,-0.5,0.4,-0.1,-0.7,1,2.8
27,James Harden,5.744562647,PG,Yes,33,58,58,2135,36.8,21.6,0.607,0.867,0.385,25,5.8,2.6,8.4,4,6.4,14.5
28,Justin Holiday,2.447033919,Other,No,33,46,2,706,15.3,6.6,0.494,0.625,0.322,14.1,-0.4,0.5,0.1,-0.3,1.7,4.4
29,RaiQuan Gray,0.076478755,Other,No,23,1,0,35,35,15.5,0.621,1,0.4,21.4,0,0,0.1,0,6,12
30,Gary Payton II,2.880972058,SG,No,30,22,1,367,16.7,13.3,0.701,0.857,0.5,10.3,0.6,0.4,1,0.2,1.9,3.1
31,Donte DiVincenzo,2.121320344,SG,No,26,72,36,1894,26.3,12.8,0.593,0.817,0.397,15.1,1.9,2.3,4.2,1.3,3.3,7.5
32,Alex Len,1.979545402,C,No,29,26,2,161,6.2,12.8,0.58,0.688,0,14.1,0.1,0.2,0.3,-0.1,0.6,1.2
33,Udonis Haslem,1.704655684,C,No,42,7,1,71,10.1,6.2,0.433,0.8,0.333,20.1,-0.1,0.1,0,-0.2,1.4,4.1
34,Eugene Omoruyi,1.006538126,Other,No,25,40,6,645,16.1,10.9,0.533,0.68,0.281,19.3,0.1,0.5,0.6,-0.4,2.5,5.7
35,Jeff Dowtin,0.713365965,PG,No,25,25,0,259,10.4,9.9,0.5,0.667,0.313,10.9,0.2,0.2,0.4,0,1,2.3
36,Isaiah Livers,1.250407134,Other,No,24,52,22,1199,23.1,8.4,0.567,0.821,0.365,11.9,0.5,0.5,1,-0.1,2.3,5.5
37,Rodney McGruder,1.516042546,SG,No,31,32,12,524,16.4,10.7,0.566,0.818,0.423,14,0.5,0.2,0.7,0.1,1.9,4.8
38,Chris Duarte,1.984177411,Other,No,25,46,12,897,19.5,8.6,0.496,0.847,0.316,19,-0.5,0.4,0,-0.6,2.7,7.2
39,Skylar Mays,0.341429348,PG,No,25,6,6,189,31.5,19.4,0.624,0.923,0.462,19.3,0.6,0.1,0.7,0.1,5.7,11.3
40,Kevin Durant,6.642277094,Other,Yes,34,47,47,1672,35.6,25.9,0.677,0.919,0.404,30.7,4.7,2.1,6.8,3.9,10.3,18.3
41,Mac McClung,0.401068573,SG,No,24,2,0,41,20.5,19.2,0.563,0.6,0.364,27.5,0.1,0,0.1,0,4.5,10
42,Theo Pinson,1.402916605,SG,No,27,40,1,323,8.1,10.1,0.512,0.846,0.355,14.7,0.2,0.2,0.5,-0.1,0.8,2.2
43,Dillon Brooks,3.376388603,Other,No,27,73,73,2214,30.3,9.4,0.494,0.779,0.326,21.8,-0.8,2.4,1.6,-1.1,5.4,13.6
44,Dejounte Murray,4.131721191,SG,Yes,26,74,74,2693,36.4,17,0.54,0.832,0.344,24.4,2.4,2.3,4.7,2.1,8.3,17.8
45,JaVale McGee,2.336925116,C,No,35,42,7,355,8.5,17.2,0.65,0.585,0.4,22.8,0.1,0.5,0.6,-0.1,1.9,3
46,Jordan Goodwin,1.131461886,PG,No,24,62,7,1106,17.8,14.8,0.531,0.768,0.322,17.3,0.9,1.3,2.2,0.8,2.5,5.7
47,Nicolas Batum,4.43850414,Other,No,34,78,19,1709,21.9,11,0.594,0.708,0.391,11.5,1.7,1.9,3.6,1,2.1,4.9
48,Christian Braun,1.675887824,SG,No,21,76,6,1181,15.5,10.3,0.568,0.625,0.354,13,0.7,1.2,1.9,-0.1,1.9,3.8
49,Gordon Hayward,5.484067833,Other,No,32,50,50,1577,31.5,13.5,0.563,0.811,0.325,20,0.8,1.1,2,0.2,5.5,11.6
50,Scottie Barnes,2.764886978,Other,No,21,77,76,2678,34.8,15.5,0.524,0.772,0.281,20.3,2.3,2.7,5,1.6,6,13.2
51,Zach Collins,2.711088342,C,No,25,63,26,1441,22.9,16.4,0.599,0.761,0.374,21.2,1.2,1,2.2,0.6,4.5,8.7
52,Kennedy Chandler,1.095445115,PG,No,20,36,0,281,7.8,10.6,0.44,0.462,0.133,15.8,-0.1,0.4,0.3,0,1,2.3
53,Jalen Duren,2.030832342,C,No,19,67,31,1670,24.9,17.3,0.655,0.611,0,14.3,2.9,1.6,4.5,0.5,3.9,5.9
54,Brook Lopez,3.729205814,C,No,34,78,78,2373,30.4,18.4,0.63,0.784,0.374,19.3,4.1,3.9,8,2.5,6.1,11.5
55,Paolo Banchero,3.324924059,Other,No,20,72,72,2430,33.8,14.9,0.529,0.738,0.298,27.5,-0.3,2.6,2.4,0.3,6.7,15.6
56,Jamal Murray,5.625886597,PG,No,25,65,65,2133,32.8,18,0.571,0.833,0.398,26.1,3.3,1.9,5.1,1.8,7.3,16
57,Rui Hachimura,2.50263621,Other,No,24,63,9,1466,23.3,13.2,0.556,0.739,0.319,20.2,0.6,1.3,1.8,-0.1,4.5,9.3
58,Deni Avdija,2.217241529,Other,No,22,76,40,2020,26.6,11.2,0.535,0.739,0.297,16.7,0,2.3,2.3,-0.1,3.3,7.6
59,Harrison Barnes,4.283955299,Other,No,30,82,82,2662,32.5,14.1,0.632,0.847,0.374,17.1,5.1,1.4,6.5,0.7,4.6,9.6
60,Cedi Osman,2.725084953,Other,No,27,77,2,1548,20.1,12,0.579,0.694,0.372,18.2,1.4,1.9,3.3,0.5,3.1,6.9
61,Daishen Nix,1.250407134,PG,No,20,57,7,914,16,5.3,0.447,0.667,0.286,15.4,-1.5,0.3,-1.2,-1,1.4,4.2
62,Doug McDermott,3.708099244,Other,No,31,64,0,1314,20.5,11.2,0.59,0.757,0.413,19.2,1,0,1,-0.4,3.7,8.2
63,Cory Joseph,2.270572615,PG,No,31,62,2,1227,19.8,12.1,0.558,0.792,0.389,15.2,1.5,0.3,1.8,0.2,2.4,5.7
64,Malik Beasley,3.944367503,SG,No,26,81,27,2093,25.8,10.9,0.531,0.769,0.357,21.1,-0.2,1.6,1.4,0,4.6,11.6
65,Oshae Brissett,1.358947387,Other,No,24,65,2,1083,16.7,10.6,0.52,0.717,0.31,16.1,0.4,0.7,1.1,-0.3,1.9,4.9
66,De'Andre Hunter,3.136220815,Other,No,25,67,67,2126,31.7,11.5,0.563,0.826,0.35,19.7,1.4,1.2,2.5,-0.7,5.7,12.3
67,Donovan Mitchell,5.560013489,SG,Yes,26,68,68,2432,35.8,22.9,0.614,0.867,0.386,32.1,5.4,3.5,8.9,5,10,20.6
68,Evan Mobley,2.911824171,Other,No,21,79,79,2715,34.4,17.9,0.591,0.674,0.216,20.2,3.7,4.8,8.5,2.5,6.6,12
69,Wenyen Gabriel,1.370664073,C,No,25,68,2,1024,15.1,14.4,0.626,0.619,0.278,14.1,1.5,1.3,2.8,-0.1,2.3,3.8
70,Malcolm Brogdon,4.75394573,PG,No,30,67,0,1744,26,18.2,0.615,0.87,0.444,22.8,3.6,2.2,5.8,2.1,5.3,10.9
71,Sandro Mamukelashvili,1.05646202,C,No,23,43,7,660,15.3,13.4,0.516,0.684,0.303,18.2,0.4,0.5,0.9,-0.1,2.3,5.3
72,Furkan Korkmaz,2.236067977,SG,No,25,37,0,353,9.5,9.3,0.552,0.722,0.391,19.1,-0.2,0.3,0.1,-0.2,1.3,3
73,Mike Muscala,1.870828693,C,No,31,63,9,945,15,13,0.608,0.769,0.391,15.1,1.4,1.1,2.5,0.4,2.1,4.6
74,Jordan Poole,1.97519594,PG,No,23,82,43,2458,30,14.6,0.573,0.87,0.336,29.2,1.4,1.9,3.2,0.1,6.7,15.6
75,Damion Lee,1.460574544,SG,No,30,74,5,1506,20.4,10.7,0.607,0.904,0.445,16.3,1.1,1.4,2.6,0.1,2.7,6.1
76,Josh Okogie,1.402916605,SG,No,24,72,26,1350,18.8,13.3,0.531,0.724,0.335,17.7,1.1,1.7,2.8,0.6,2.3,5.8
77,Talen Horton-Tucker,3.203123476,SG,No,22,65,20,1313,20.2,13.7,0.508,0.75,0.286,25.9,-0.3,1.1,0.8,0.2,4,9.4
78,Jarrett Allen,4.472135955,C,No,24,68,68,2220,32.6,19.9,0.67,0.733,0.1,16.4,5.5,4,9.5,2.4,5.9,9.2
79,Jarrett Culver,0.510191141,Other,No,23,10,1,137,13.7,9.5,0.452,0.692,0.083,17.1,-0.1,0.2,0,-0.1,1.7,4.3
80,Wesley Matthews,1.704655684,Other,No,36,52,0,820,15.8,7,0.519,0.857,0.315,9.8,0.3,0.9,1.2,-0.1,1.1,3.1
81,Georges Niang,1.861451047,Other,No,29,78,1,1512,19.4,10.9,0.61,0.867,0.401,17,1.1,1.4,2.5,0.2,2.8,6.4
82,John Konchar,1.516575089,Other,No,26,72,23,1494,20.8,10.8,0.542,0.778,0.339,10.4,1,2.5,3.5,0.9,1.9,4.4
83,George Hill,2,Other,No,36,46,1,834,18.1,10.6,0.61,0.764,0.358,11.3,1.1,0.8,1.9,0.1,1.7,3.6
84,James Johnson,1.959864026,Other,No,35,18,1,162,9,8.4,0.486,0.5,0.2,15.7,-0.1,0.2,0.1,-0.1,1.2,2.7
85,Evan Fournier,4.242640687,SG,No,30,27,7,459,17,6.9,0.471,0.857,0.307,18.4,-0.3,0.4,0.1,-0.2,2.1,6.1
86,Cole Anthony,1.900968174,PG,No,22,60,4,1552,25.9,16,0.57,0.894,0.364,21.5,2.1,1.7,3.7,1.3,4.6,10.2
87,Cody Martin,2.645751311,Other,No,27,7,0,134,19.1,8.7,0.448,0.571,0.214,12.9,0,0.1,0.1,-0.1,2,5.1
88,Blake Griffin,1.704655684,C,No,33,41,16,569,13.9,13.1,0.59,0.656,0.348,12.7,1,0.8,1.8,0.3,1.5,3.2
89,Shai Gilgeous-Alexander,5.560013489,PG,Yes,24,68,68,2416,35.5,27.2,0.626,0.905,0.345,32.8,8.4,3,11.4,5.6,10.4,20.3
90,Damian Jones,1.516042546,C,No,27,41,1,477,11.6,12.9,0.719,0.759,0.588,10.7,0.7,0.5,1.2,0,1.3,2.1
91,Mikal Bridges,4.483302354,Other,No,26,83,83,2963,35.7,16.8,0.587,0.895,0.382,22.6,4.4,3.1,7.5,2.8,7.1,15.3
92,Naji Marshall,1.335148306,Other,No,25,77,21,1792,23.3,11.4,0.539,0.789,0.303,17.8,0.5,2,2.5,0.1,3.2,7.4
93,Al Horford,5.14781507,C,No,36,63,63,1922,30.5,13.8,0.631,0.714,0.446,11.9,3.6,2.7,6.3,2.5,3.6,7.6
94,Chris Paul,5.329165038,PG,Yes,37,59,59,1889,32,17.7,0.555,0.831,0.375,19.2,3.7,2.5,6.2,2.5,5,11.3
95,Facundo Campazzo,0.681394893,PG,No,31,8,0,52,6.5,7.8,0.36,0.5,0.273,14.7,-0.1,0.1,0,0,0.4,1.6
96,Alec Burks,3.164300871,SG,No,31,51,8,1122,22,16.5,0.602,0.814,0.414,22.8,1.9,0.6,2.5,0.9,3.9,9
97,Will Barton,3.880684476,SG,No,32,56,2,993,17.7,10,0.493,0.787,0.367,18.9,-0.4,0.8,0.4,-0.2,2.5,6.5
98,Robert Covington,3.508232033,Other,No,32,48,0,779,16.2,14.2,0.584,0.75,0.397,15.6,0.7,1.2,1.9,0.7,2.1,4.8
99,Torrey Craig,2.263172773,Other,No,32,79,60,1948,24.7,11.6,0.566,0.711,0.395,13,1.5,2.5,4,0.7,2.9,6.3
100,Tre Mann,1.745336644,PG,No,21,67,5,1183,17.7,10,0.492,0.764,0.315,20.7,-0.6,1.1,0.5,-0.6,2.9,7.5